p,kappa,estimator_variant,r_f_mean,r_f_std,mae_b_mean,mae_b_std,fallback_weight_mean
0.05,0.5,estimated_aqf,35.038047188647454,7.558618213972105,0.6921131768897618,0.07234069695068696,0.5720093337862143
0.05,0.5,fixed_q_0.1,54.44419454953753,11.295248352506942,1.2621485956866103,0.100395304125016,
0.05,0.5,fixed_q_0.2,38.959791442698105,7.9725389630113295,0.8164313217693344,0.06600406447028291,
0.05,0.5,fixed_q_0.3,29.498662647417866,6.321937320068524,0.5059438758275914,0.0516397355088345,
0.05,0.5,oracle_aqf,16.67280281576339,3.7978065905932286,0.04871508458168652,0.03933032904018313,
0.05,1.0,estimated_aqf,19.380432332797664,4.223871819024559,0.6555333094284854,0.1053029000554559,0.5711290520665819
0.05,1.0,fixed_q_0.1,30.44119108703149,6.738585801037714,1.2353000509828638,0.09181797940405863,
0.05,1.0,fixed_q_0.2,21.831153447806436,5.018528048179609,0.7880485522680148,0.08678761396707138,
0.05,1.0,fixed_q_0.3,16.418537847898243,4.09533087256272,0.4664568790988238,0.07876647869745391,
0.05,1.0,oracle_aqf,9.71353514928376,2.395220525388789,0.05728783104113688,0.05119875030406015,
0.05,1.5,estimated_aqf,11.462588628433725,2.819209946761684,0.6284585145851967,0.09445482230209729,0.5424196761054885
0.05,1.5,fixed_q_0.1,18.0702118217323,4.076752881815837,1.2289317650033444,0.0750678771670952,
0.05,1.5,fixed_q_0.2,13.08659986605158,3.203579029262093,0.7846771990735594,0.06787646265680955,
0.05,1.5,fixed_q_0.3,9.912454010200355,2.2423470556980387,0.471611106545575,0.06620492252366576,
0.05,1.5,oracle_aqf,5.817955296537115,1.2744008489317233,0.047035768846546235,0.048125842106728406,
0.05,2.0,estimated_aqf,8.574898977174746,2.572669086861608,0.5595404079688342,0.09269802301716232,0.5001045441713599
0.05,2.0,fixed_q_0.1,14.081385204316586,3.620571975719539,1.214682729713373,0.07886372722799395,
0.05,2.0,fixed_q_0.2,10.24620188744378,2.7545412200276735,0.7776556859343191,0.05580265346850532,
0.05,2.0,fixed_q_0.3,7.851514278196492,2.0377349168652255,0.4716831786449195,0.05966521706448222,
0.05,2.0,oracle_aqf,4.7978465788462445,1.088951058256946,0.043078910277242775,0.03337208158176463,
0.05,2.5,estimated_aqf,6.524239750012287,1.772336299161308,0.464676540548539,0.2013177786563456,0.5516929582732157
0.05,2.5,fixed_q_0.1,11.297488595999592,2.399371386151828,1.2154852537376175,0.07086215841654091,
